raw,binomial,common,group,family,domestic
broiler_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
bronze_turkey,Meleagris gallopavo domesticus,domestic turkey,Galliformes,,y
Brown_headed_gull,Chroicocephalus brunnicephalus,brown-headed gull,Charadriiformes,,
brown-headed_gull,Chroicocephalus brunnicephalus,brown-headed gull,Charadriiformes,,
Brown-headed_Gull,Chroicocephalus brunnicephalus,brown-headed gull,Charadriiformes,,
Bubo_bubo,Bubo bubo,Eurasian eagle-owl,Strigiformes,,
bufflehead,Bucephala albeola,bufflehead,Anseriformes,,
Bulbul,,Pycnonotidae song bird,Passeriformes,,
Buteo_buteo,Buteo buteo,common buzzard,Accipitriformes,,
Buzzard,Buteo buteo,common buzzard,Accipitriformes,,
buzzard,Buteo buteo,common buzzard,Accipitriformes,,
C_Gull,,gull,Charadriiformes,,
cackling_goose,Branta hutchinsii,cackling goose,Anseriformes,,
canada_goose,Branta canadensis,Canada goose,Anseriformes,,
Canada_Goose,Branta canadensis,Canada goose,Anseriformes,,
Canada_goose,Branta canadensis,Canada goose,Anseriformes,,
Canade_goose,Branta canadensis,Canada goose,Anseriformes,,
cape_teal,Anas capensis,Cape teal,Anseriformes,,
Cascade_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Caspian__Gull,Larus cachinnans,Caspian gull,Charadriiformes,,
Caspian_Gull,Larus cachinnans,Caspian gull,Charadriiformes,,
Caspian_gull,Larus cachinnans,Caspian gull,Charadriiformes,,
caspian_gull,Larus cachinnans,Caspian gull,Charadriiformes,,
cat,Felis catus,domestic cat,Carnivora,,y
Catalina_macaw,Ara sp.,Catalina macaw,Psittaciformes,,
cattle_egret,Bubulcus ibis,cattle egret,Pelecaniformes,,
Ch,Gallus gallus domesticus,domestic chicken,Galliformes,,y
chciken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
Chichen,Gallus gallus domesticus,domestic chicken,Galliformes,,y
Chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
CHICKEN,Gallus gallus domesticus,domestic chicken,Galliformes,,y
chicken-Cobb,Gallus gallus domesticus,domestic chicken,Galliformes,,y
chicken-layer,Gallus gallus domesticus,domestic chicken,Galliformes,,y
chicken(Gallus_gallus_domesticus),Gallus gallus domesticus,domestic chicken,Galliformes,,y
chicken|guinea_fowl,Gallus gallus domesticus,domestic chicken,Galliformes,,y
chickenl,Gallus gallus domesticus,domestic chicken,Galliformes,,y
Chiken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
chiken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
Chilean_teal,Anas flavirostris,yellow-billed teal,Anseriformes,,
Chiloe_wigeon,Mareca sibilatrix,southern wigeon,Anseriformes,,
Chinese_pond_heron,Ardeola bacchus,Chinese pond heron,Pelecaniformes,,
Chinese_ringneck_pheasant,Phasianus colchicus,common pheasant,Galliformes,,
chinstrap_penguin,Pygoscelis antarcticus,chinstrap penguin,Sphenisciformes,,
Chinstrap_penguin,Pygoscelis antarcticus,chinstrap penguin,Sphenisciformes,,
Chlidonias_hybrida,Chlidonias hybrida,whiskered tern,Charadriiformes,,
ciconia_ciconia,Ciconia ciconia,white stork,Ciconiiformes,,
Ciconia_ciconia,Ciconia ciconia,white stork,Ciconiiformes,,
cignus_olor,Cygnus olor,mute swan,Anseriformes,,
civet_cat,,civet,Carnivora,Viverridae,
cloacal_swab_ECE1,,bird,bird,,
Columba_palumbus,Columba palumbus,common wood pigeon,Columbiformes,,
Commom_Teal,Anas crecca,common teal,Anseriformes,,
Common_buzzard,Buteo buteo,common buzzard,Accipitriformes,,
common_buzzard,Buteo buteo,common buzzard,Accipitriformes,,
Common_Buzzard,Buteo buteo,common buzzard,Accipitriformes,,
common_buzzard_,Buteo buteo,common buzzard,Accipitriformes,,
common_coot,Fulica atra,common coot,Gruiformes,,
common_crane,Grus grus,common crane,Gruiformes,,
common_crane_,Grus grus,common crane,Gruiformes,,
Common_Eider,Somateria mollissima,common eider,Anseriformes,,
common_eider,Somateria mollissima,common eider,Anseriformes,,
Common_eider,Somateria mollissima,common eider,Anseriformes,,
common_eiders,Somateria mollissima,common eider,Anseriformes,,
common_golden_eye,Bucephala clangula,common goldeneye,Anseriformes,,
Common_Goldeneye,Bucephala clangula,common goldeneye,Anseriformes,,
common_goldeneye,Bucephala clangula,common goldeneye,Anseriformes,,
Common_goldeneye,Bucephala clangula,common goldeneye,Anseriformes,,
Common_Gull,Larus canus,common gull,Charadriiformes,,
Common_gull,Larus canus,common gull,Charadriiformes,,
common_gull,Larus canus,common gull,Charadriiformes,,
common_kestel,Falco tinnunculus,common kestrel,Falconiformes,,
common_kestrel,Falco tinnunculus,common kestrel,Falconiformes,,
Common_moorhen,Gallinula chloropus,common moorhen,Gruiformes,,
common_murre,Uria aalge,common murre,Charadriiformes,,
Common_peacock,Pavo cristatus,Indian peafowl,Galliformes,,
Common_pheasant,Phasianus colchicus,common pheasant,Galliformes,,
common_pheasant,Phasianus colchicus,common pheasant,Galliformes,,
common_pheasant_,Phasianus colchicus,common pheasant,Galliformes,,
Common_pochard,Aythya ferina,common pochard,Anseriformes,,
Common_Pochard,Aythya ferina,common pochard,Anseriformes,,
common_pochard,Aythya ferina,common pochard,Anseriformes,,
